test_row,message,label,cleaned_message,prediction,error_type
383,"Theo dự báo, tối nay Bão số 9 sẽ vào TP.HCM. Đề nghị mọi người hạn chế đi lại ngoài đường trừ trường hợp khẩn cấp! Tonight, Typhoon No.9 hit to Ho Chi Minh City. People do not go out in case of emergency!",0,theo dự báo tối nay bão số 9 sẽ vào tp hcm đề nghị mọi người hạn chế đi lại ngoài đường trừ trường hợp khẩn cấp tonight typhoon no 9 hit to ho chi minh city people do not go out in case of emergency,1,FP
384,"Bão số 9 có khả năng ảnh hưởng đến TP.HCM, mọi người theo dõi để phòng tránh! Typhoon number 9 can affect HCM city, people should follow to have prevention!",0,bão số 9 có khả năng ảnh hưởng đến tp hcm mọi người theo dõi để phòng tránh typhoon number 9 can affect hcm city people should follow to have prevention,1,FP
413,"[TB] Ứng dụng Tuyên giáo và Dân vận – kênh thông tin chính thống của Đảng; chủ trương, chính sách được cập nhật nhanh, giải thích dễ hiểu; thư viện số phong phú; hỏi – đáp, tra cứu thuận tiện; lắng nghe, phản hồi ý kiến Nhân dân. Mời Nhân dân tham gia sửdụng: 
https://tgdv.vtscloud.vn/installation",0,tb ứng dụng tuyên giáo và dân vận kênh thông tin chính thống của đảng chủ trương chính sách được cập nhật nhanh giải thích dễ hiểu thư viện số phong phú hỏi đáp tra cứu thuận tiện lắng nghe phản hồi ý kiến nhân dân mời nhân dân tham gia sửdụng __url__,1,FP
428,"[Ngân hàng Techcombank] Thông báo. Ưu đãi có thời hạn!12.[POINT] thưởng thẻ tín dụng của bạn hết hạn hôm nay. Nhận ngay phần thưởng độc quyền của bạn:https:// 
techcombank.shop/com.vn",0,ngân hàng techcombank thông báo ưu đãi có thời hạn 12 point thưởng thẻ tín dụng của bạn hết hạn hôm nay nhận ngay phần thưởng độc quyền của bạn https techcombank shop com vn,1,FP
433,"Thiết bị [NUMBER] đã bị mở khóa. 
Liên hệ với tài khoản account@ezviz.com nếu có bất kỳ thắc mắc.",0,thiết bị __number__ đã bị mở khóa liên hệ với tài khoản __email__ nếu có bất kỳ thắc mắc,1,FP
435,"Dạ anh ơi, em gửi thông tin lúc nào anh có người quen cần lắp mạng giới thiệu em với, chốt xong em gửi tặng 1 tháng cước cho nhà mình hoặc [MONEY] tiền mặt, nhà anh cần lắp thì em sẽ chiết khấu vào chi phí nhà mình luôn ạ. sdt em [NUMBER] đây nếu có hoặc cần thì liên hệ em ngay nhé, em cảm ơn ạ! [NUMBER]",0,dạ anh ơi em gửi thông tin lúc nào anh có người quen cần lắp mạng giới thiệu em với chốt xong em gửi tặng 1 tháng cước cho nhà mình hoặc __money__ tiền mặt nhà anh cần lắp thì em sẽ chiết khấu vào chi phí nhà mình luôn ạ sdt em __number__ đây nếu có hoặc cần thì liên hệ em ngay nhé em cảm ơn ạ __number__,1,FP
443,"VPBank thông báo: thẻ của quý khách vừa phát sinh giao dịch [MONEY] lúc [TIME]. Nếu không phải quý khách, gọi ngay [NUMBER] để khóa thẻ.",1,vpbank thông báo thẻ của quý khách vừa phát sinh giao dịch __money__ lúc __time__ nếu không phải quý khách gọi ngay __number__ để khóa thẻ,0,FN
454,"Shopee SALE lớn: giảm tới 50% toàn bộ sản phẩm, freeship toàn quốc. Soạn DK gửi 8x18 để nhận mã giảm giá.",1,shopee sale lớn giảm tới 50 toàn bộ sản phẩm freeship toàn quốc soạn dk gửi 8x18 để nhận mã giảm giá,0,FN
456,"FPT Shop SALE lớn: giảm tới 50% toàn bộ sản phẩm, freeship toàn quốc. Soạn DK gửi 8x28 để nhận mã giảm giá.",1,fpt shop sale lớn giảm tới 50 toàn bộ sản phẩm freeship toàn quốc soạn dk gửi 8x28 để nhận mã giảm giá,0,FN
459,"Spa Hà ưu đãi 70% gói chăm sóc da dịp lễ, tặng kèm 2 buổi trị liệu. Gọi [NUMBER] đặt lịch ngay hôm nay.",1,spa hà ưu đãi 70 gói chăm sóc da dịp lễ tặng kèm 2 buổi trị liệu gọi __number__ đặt lịch ngay hôm nay,0,FN
472,"MB Bank thông báo: thẻ của quý khách vừa phát sinh giao dịch [MONEY] lúc [TIME]. Nếu không phải quý khách, gọi ngay [NUMBER] để khóa thẻ.",1,mb bank thông báo thẻ của quý khách vừa phát sinh giao dịch __money__ lúc __time__ nếu không phải quý khách gọi ngay __number__ để khóa thẻ,0,FN
480,"Spa Trang ưu đãi 70% gói chăm sóc da dịp lễ, tặng kèm 2 buổi trị liệu. Gọi [NUMBER] đặt lịch ngay hôm nay.",1,spa trang ưu đãi 70 gói chăm sóc da dịp lễ tặng kèm 2 buổi trị liệu gọi __number__ đặt lịch ngay hôm nay,0,FN
492,"Spa Mai ưu đãi 70% gói chăm sóc da dịp lễ, tặng kèm 2 buổi trị liệu. Gọi [NUMBER] đặt lịch ngay hôm nay.",1,spa mai ưu đãi 70 gói chăm sóc da dịp lễ tặng kèm 2 buổi trị liệu gọi __number__ đặt lịch ngay hôm nay,0,FN
495,"Spa Hùng ưu đãi 70% gói chăm sóc da dịp lễ, tặng kèm 2 buổi trị liệu. Gọi [NUMBER] đặt lịch ngay hôm nay.",1,spa hùng ưu đãi 70 gói chăm sóc da dịp lễ tặng kèm 2 buổi trị liệu gọi __number__ đặt lịch ngay hôm nay,0,FN
496,"FPT Shop SALE lớn: giảm tới 50% toàn bộ sản phẩm, freeship toàn quốc. Soạn DK gửi 8x00 để nhận mã giảm giá.",1,fpt shop sale lớn giảm tới 50 toàn bộ sản phẩm freeship toàn quốc soạn dk gửi 8x00 để nhận mã giảm giá,0,FN
511,"[Viettel] Thuê bao của quý khách chưa chuẩn hóa thông tin theo quy định, sẽ bị khóa 1 chiều sau [TIME]. Vui lòng gọi [NUMBER] để cập nhật.",1,viettel thuê bao của quý khách chưa chuẩn hóa thông tin theo quy định sẽ bị khóa 1 chiều sau __time__ vui lòng gọi __number__ để cập nhật,0,FN
533,"Vietinbank thông báo: thẻ của quý khách vừa phát sinh giao dịch [MONEY] lúc [TIME]. Nếu không phải quý khách, gọi ngay [NUMBER] để khóa thẻ.",1,vietinbank thông báo thẻ của quý khách vừa phát sinh giao dịch __money__ lúc __time__ nếu không phải quý khách gọi ngay __number__ để khóa thẻ,0,FN
536,Hoi vien moi nap dau [MONEY] tang [MONEY] tao tai khoan moi nhan uu dai lixi moi https://www.ee8qbet.com/?ch=0b8857e136,1,hoi vien moi nap dau __money__ tang __money__ tao tai khoan moi nhan uu dai lixi moi __url__,0,FN
537,"Vao ngay https://m.[NUMBER].com/Account/Register?f=[NUMBER] dang ki tai khoan moi pkwin nhan [MONEY],nap dau tang 100% choi casino,the thao,no hu cuc dinh.",1,vao ngay __url__ __number__ com account register f __number__ dang ki tai khoan moi pkwin nhan __money__ nap dau tang 100 choi casino the thao no hu cuc dinh,0,FN
538,"Ban vao ngay pkwin https://m.[NUMBER].com/Account/Register?f=[NUMBER] dang ki tai khoan nhan code [MONEY],nap dau tang 100% trai nghiem casino,no hu hay nhat.",1,ban vao ngay pkwin __url__ __number__ com account register f __number__ dang ki tai khoan nhan code __money__ nap dau tang 100 trai nghiem casino no hu hay nhat,0,FN
541,FLY88 trai nghiem moi: Dang ky nhan [MONEY]. Tai app nhan [MONEY]. X2 nap dau trai nghiem. Diem danh moi ngay nhan [MONEY]. Dang ky: https://fly88.health,1,fly88 trai nghiem moi dang ky nhan __money__ tai app nhan __money__ x2 nap dau trai nghiem diem danh moi ngay nhan __money__ dang ky __url__,0,FN
543,"Vao ngay WW88 vui cung WORLD CUP Nap [MONEY] nhan [MONEY] dang cap the thao, nohu, casino tai https://ww98dt3.cc/Register? f=[NUMBER]",1,vao ngay ww88 vui cung world cup nap __money__ nhan __money__ dang cap the thao nohu casino tai __url__ f __number__,0,FN
546,DANG KY TAI KHOAN NAP DAU 50 NHAN 50 nk99hv.com,1,dang ky tai khoan nap dau 50 nhan 50 nk99hv com,0,FN
548,Dang ky nhan thuong ngay [MONEY]! https://hi593.com,1,dang ky nhan thuong ngay __money__ __url__,0,FN
556,"[QC]QK du dieu kien vay tieu dung den [MONEY] VND, ls uu dai tu EASY CREDIT (EVN Finance). Soan Y gui [NUMBER] de DK vay va dong y cho MobiFone chia se tt thue bao de ho tro tham dinh khoan vay.Tu choi quang cao tu EASY CREDIT, soan TC EASY CREDIT gui [NUMBER].",1,qc qk du dieu kien vay tieu dung den __money__ vnd ls uu dai tu easy credit evn finance soan y gui __number__ de dk vay va dong y cho mobifone chia se tt thue bao de ho tro tham dinh khoan vay tu choi quang cao tu easy credit soan tc easy credit gui __number__,0,FN
557,Anh Chi Oi: (rKYVFnOi). E Nhan [NAME] l/Xe. CMND. Can Cuoc. Bang Dai Hoc. THPT. Cao Dang. Nhan Hang thu Tien. E: [NUMBER]. Xin cam on!,1,anh chi oi rkyvfnoi e nhan name l xe cmnd can cuoc bang dai hoc thpt cao dang nhan hang thu tien e __number__ xin cam on,0,FN
560,TT: [NUMBER].G@me bài tra thu0ng kie'mtien cuc de.ta?i luon: bitly.com.vn nhan 88 kthu nghiem nhieu tr0 hap dan..rut nap sieu t0c,1,tt __number__ g me bài tra thu0ng kie mtien cuc de ta i luon bitly com vn nhan 88 kthu nghiem nhieu tr0 hap dan rut nap sieu t0c,0,FN
561,"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://vietcombank.vn-gll.top de sua doi mat khau hoac thoat khoi thiet bi kia",1,tai khoan cua ban dang duoc dang nhap tren thiet bi khac neu khong phai ban dang nhap vui long vao __url__ de sua doi mat khau hoac thoat khoi thiet bi kia,0,FN
562,"PHONG PHAP LY tu UBND BEN TRE Chung toi tiep nhan ho so vi pham cua Ong/Ba [NAME] sn [DATE] tu ben cho vay. Yeu cau ong ba chuan bi hinh chan dung 3x4, CCCD gan chip co photo, co mat tai dia chi ho khau de co quan chuc nang gui don trieu tap dan su trong [TIME] tiep theo. De tranh phat sinh rui ro de nghi thanh toan GAP.",1,phong phap ly tu ubnd ben tre chung toi tiep nhan ho so vi pham cua ong ba name sn __date__ tu ben cho vay yeu cau ong ba chuan bi hinh chan dung 3x4 cccd gan chip co photo co mat tai dia chi ho khau de co quan chuc nang gui don trieu tap dan su trong __time__ tiep theo de tranh phat sinh rui ro de nghi thanh toan gap,0,FN
563,"CANH CAO LAN CUOI Can Cu Theo BO HINH SU Khoan 1, Dieu 139-141 dua tren Quyet Dinh [NUMBER]/[NUMBER]-TTCP ""HANH VI LUA DAO CHIEM DOAT TAI SAN"" Doi tuong [NAME] [DATE]. CO TINH TRI HOAN keo dai thoi gian THANH TOAN NO.
Truoc [TIME] ngay hom nay van chua ra xu ly khoan vay, Ngan Hang chinh thuc gui HO SO ben Thu Ba Xu Ly.",1,canh cao lan cuoi can cu theo bo hinh su khoan 1 dieu 139 141 dua tren quyet dinh __number__ __number__ ttcp hanh vi lua dao chiem doat tai san doi tuong name __date__ co tinh tri hoan keo dai thoi gian thanh toan no truoc __time__ ngay hom nay van chua ra xu ly khoan vay ngan hang chinh thuc gui ho so ben thu ba xu ly,0,FN
564,"AN NINH NGAN HANG Thong bao: Can cu vao hop dong tra gop cua Ong/Ba: [NAME] Sinh ngay [DATE] co tinh khong hop tac. Ho so Ong/Ba chinh thuc bi lap bien ban thanh ly truoc han va ban giao cho BO [NAME] ΝΟ XAU truc tiep xu ly trong vong [TIME]. Vui long thanh toan GAP trong ngay. Sau thoi gian tren van chua hoan tat khoan vay, hop dong chinh thuc BI NIEM PHONG, TIEN HANH THANH LY va BOI THUONG. Dua theo can cu ghi nhan CHIEM DOAT TAI SAN NGAN HANG se tien hanh xu ly dung quy dinh phap luat.Tran trong.!",1,an ninh ngan hang thong bao can cu vao hop dong tra gop cua ong ba name sinh ngay __date__ co tinh khong hop tac ho so ong ba chinh thuc bi lap bien ban thanh ly truoc han va ban giao cho bo name νο xau truc tiep xu ly trong vong __time__ vui long thanh toan gap trong ngay sau thoi gian tren van chua hoan tat khoan vay hop dong chinh thuc bi niem phong tien hanh thanh ly va boi thuong dua theo can cu ghi nhan chiem doat tai san ngan hang se tien hanh xu ly dung quy dinh phap luat tran trong,0,FN
565,Qua cong tac dieu tra tim kiem tai dia phuong chung toi da co du dieu kien va co so de nho Cong An vao cuoc ho tro dieu tra trong qua trinh lien he Ong/Ba [NAME] [DATE] va nguoi than lien tuc/tat nguon khoa may tron tranh nghia vu thanh toan. Yeu cau Ong/Ba cung nhung nguoi lien quan khong roi khoi dia phuong BEN TRE trong vong [TIME] (tinh tu khi nhan duoc thong bao) de lam viec truc tiep voi dai dien TO CHUC TIN DUNG ve viec cham dut va boi thuong cho ben NH. Tran trong!.,1,qua cong tac dieu tra tim kiem tai dia phuong chung toi da co du dieu kien va co so de nho cong an vao cuoc ho tro dieu tra trong qua trinh lien he ong ba name __date__ va nguoi than lien tuc tat nguon khoa may tron tranh nghia vu thanh toan yeu cau ong ba cung nhung nguoi lien quan khong roi khoi dia phuong ben tre trong vong __time__ tinh tu khi nhan duoc thong bao de lam viec truc tiep voi dai dien to chuc tin dung ve viec cham dut va boi thuong cho ben nh tran trong,0,FN
566,PHONG DIEU TRA TIN DUNG Canh Bao. Ho so tin dung [NAME] [DATE] co dau hieu [NAME] -CHIEM DOAT TAI SAN theo dieu 175 BLHS_100/[NUMBER]/QH13. De nghi ong ba thanh toan GAP so no qua han. Sau thoi gian tren chung toi se hoan tat thu tuc phap ly chuyen cho Co Quan Chuc Nang dieu tra xu ly. Tran trong!,1,phong dieu tra tin dung canh bao ho so tin dung name __date__ co dau hieu name chiem doat tai san theo dieu 175 blhs_100 __number__ qh13 de nghi ong ba thanh toan gap so no qua han sau thoi gian tren chung toi se hoan tat thu tuc phap ly chuyen cho co quan chuc nang dieu tra xu ly tran trong,0,FN
570,"TB: Anh/Chị [NAME] khong tu giac thanh toan [NUMBER].
sau [TIME] se lien he ban be, danh ba, dong nghiep. Moi anh huong danh du, uy tin tu chiu
Link Thanh toán: http://i.dljj.shop/M6xLSV",1,tb anh chị name khong tu giac thanh toan __number__ sau __time__ se lien he ban be danh ba dong nghiep moi anh huong danh du uy tin tu chiu link thanh toán __url__,0,FN
571,"Thong bao cuoi! Tai khoan con thuong chua nhan: [MONEY] + 59 luot quay mien phi. Chi con [TIME]. Xem ngay: 
https://vie999.com/index?id= [NUMBER]",1,thong bao cuoi tai khoan con thuong chua nhan __money__ 59 luot quay mien phi chi con __time__ xem ngay __url__ __number__,0,FN
572,"Thong bao: Quy khach con mot khoan phat giao thong chua duoc thanh toan. Vui long thanh toan som de tranh cac khoan phi phat phat sinh : 
vndichvuconggov.com",1,thong bao quy khach con mot khoan phat giao thong chua duoc thanh toan vui long thanh toan som de tranh cac khoan phi phat phat sinh vndichvuconggov com,0,FN
574,VP: Diem Diamond cua quy khach dang sap het han. Vui long doi diem tai diem- diamond-vp-bank.com,1,vp diem diamond cua quy khach dang sap het han vui long doi diem tai diem diamond vp bank com,0,FN
575,"Ban vao ngay pkwin https://m.[NUMBER].com/Account/Register? f=[NUMBER] dang ki tai khoan nhan code [MONEY], nap dau tang 100% trai nghiem casino, no hu hay nhat.",1,ban vao ngay pkwin __url__ __number__ com account register f __number__ dang ki tai khoan nhan code __money__ nap dau tang 100 trai nghiem casino no hu hay nhat,0,FN
576,VP: Điểm Diamond sắp đến hạn. Truy cập vp-diamond-vn-diem.com,1,vp điểm diamond sắp đến hạn truy cập vp diamond vn diem com,0,FN
577,Chao ban! Tai khoan cua ban thuong chua nhan: [MONEY] + 59 luot quay no hu mien phi tai https://n9989.com/index?id= [NUMBER],1,chao ban tai khoan cua ban thuong chua nhan __money__ 59 luot quay no hu mien phi tai __url__ __number__,0,FN
578,"Em Ye Quach Duc Giang Fifa World Cup [NUMBER] Thoi Gian Dang Ky Nhan [MONEY] Cua Quy Khach Sap Het Han, Truy Cap Ngay Qh88-vip.biz",1,em ye quach duc giang fifa world cup __number__ thoi gian dang ky nhan __money__ cua quy khach sap het han truy cap ngay qh88 vip biz,0,FN
579,Thong bao: Quy khach con mot khoan phat giao thong chua duoc thanh toan. Vui long thanh toan som de tranh cac khoan phi phat phat sinh: dichvucongvngov.com,1,thong bao quy khach con mot khoan phat giao thong chua duoc thanh toan vui long thanh toan som de tranh cac khoan phi phat phat sinh dichvucongvngov com,0,FN
580,Soi Dong Cung WorldCup [NUMBER]. Tai App Va Dang Ki Tang Mien Phi [MONEY]: https://v8abwc.com/0xe,1,soi dong cung worldcup __number__ tai app va dang ki tang mien phi __money__ __url__,0,FN
581,VCB: Quy khach con diem Priority sap het han. Hay quy doi ngay tai vcbankpriority.com de tiep tuc tan huong quyen loi.,1,vcb quy khach con diem priority sap het han hay quy doi ngay tai vcbankpriority com de tiep tuc tan huong quyen loi,0,FN
582,"Chung toi da nhieu lan co gang lien lac voi ban! Ban co [MONEY] + 59 vong quay, thoi han chi con [TIME]. https://a8858.com/index?id=[NUMBER]",1,chung toi da nhieu lan co gang lien lac voi ban ban co __money__ 59 vong quay thoi han chi con __time__ __url__ __number__,0,FN
583,"UNG DUNG VCB DIGIBANK cua ban duoc PHAT HIEN KICH HOAT tren thiet bi la. Neu KHONG PHAI BAN KICH HOAT vui 
long bam vao https://vietcombank.vn-dll.vip de doi thiet bi hoac huy de tranh mat tai san",1,ung dung vcb digibank cua ban duoc phat hien kich hoat tren thiet bi la neu khong phai ban kich hoat vui long bam vao __url__ de doi thiet bi hoac huy de tranh mat tai san,0,FN
584,Kinh gui nguoi dung VietinBank. Do nang cap he thong nen tang. Vui long xaс minh thong tin kip thoi tai https://www.vnietinbank.com de tranh anh huong den qua trinh su dung.,1,kinh gui nguoi dung vietinbank do nang cap he thong nen tang vui long xaс minh thong tin kip thoi tai __url__ de tranh anh huong den qua trinh su dung,0,FN
586,"ACB Online: Thong bao gan day tai 
khoan ngan hang hay bi toi pham cong nghe danh cap de rua tien,vui long khac hang cap nhap lai thong tai khoan de bao mat, neu khong cap nhap lai tai khoan cua ban se bi khoa trong [TIME]. Thong tin chi tiet 
https://acb-online.cc",1,acb online thong bao gan day tai khoan ngan hang hay bi toi pham cong nghe danh cap de rua tien vui long khac hang cap nhap lai thong tai khoan de bao mat neu khong cap nhap lai tai khoan cua ban se bi khoa trong __time__ thong tin chi tiet __url__,0,FN
587,"drume SM88 Dang ky ngay, nhan [MONEY] Tai: Y1XQ.Koqaz.com",1,drume sm88 dang ky ngay nhan __money__ tai y1xq koqaz com,0,FN
588,zLhFVQCDieunIkJyezlEnbeJOU.>.> .>385!!2<-<-<-hNjOOwWVrMyUxCoKMaV,1,zlhfvqcdieunikjyezlenbejou 385 2 hnjoowwvrmyuxcokmav,0,FN
589,"eYSdVQuEPkdviXwuiKRufvEUrm.>. >.>348!!8<-<-<- 
yAVshTMMqCIwUTzRbxnYhzrBEM",1,eysdvquepkdvixwuikrufveurm 348 8 yavshtmmqciwutzrbxnyhzrbem,0,FN
590,UemVZeLOhgMLCvWpGIEoFlkvdc. >.>.>852!!9<-<-<-VOECJIqgkuSYCYnnBkLsQyWedKQbp,1,uemvzelohgmlcvwpgieoflkvdc 852 9 voecjiqgkusycynnbklsqywedkqbp,0,FN
591,NOFpXwwrjZtPuEQBkmGwACNJir.> .>.>898!!4<-<-<-vwcVjsAbpzxilYCyVlowSBERDIEOt,1,nofpxwwrjztpueqbkmgwacnjir 898 4 vwcvjsabpzxilycyvlowsberdieot,0,FN
